"","DocID","x","y","w","h","image.width","image.height","perc.x","perc.y","perc.w","perc.h"
"1","qk423pn9162%2F011_065_R_TC_46",2288,4275,1958,1198,6010,8802,38.0698835274542,48.5685071574642,32.5790349417637,13.6105430583958
"2","qk423pn9162%2F011_066_V_TC_46",3615,5710,1285,1163,5830,8778,62.0068610634648,65.0489861016177,22.041166380789,13.2490316700843
"3","qk423pn9162%2F011_070_R_TC_46",168,763,1105,1085,6010,8814,2.79534109816972,8.65668255048786,18.3860232945092,12.3099614250057
"4","qk423pn9162%2F011_083_V_TC_46",1515,5328,1795,1220,5722,8790,26.4767563788885,60.6143344709898,31.3701502970989,13.8794084186576
"5","qk423pn9162%2F011_085_V_TC_46",3703,813,1758,1333,5878,8790,62.9976182374957,9.24914675767918,29.9081320176931,15.164960182025
"6","qk423pn9162%2F011_099_V_TC_46",3488,793,1245,1603,5740,8804,60.7665505226481,9.00726942298955,21.6898954703833,18.207632894139
"7","qk423pn9162%2F011_099_V_TC_46",3668,3203,1103,1100,5740,8804,63.9024390243902,36.3811903680145,19.2160278745645,12.4943207632894
"8","qk423pn9162%2F011_100_R_TC_46",168,2895,860,995,5854,8775,2.86983259309874,32.991452991453,14.6908097027673,11.3390313390313
"9","qk423pn9162%2F011_100_R_TC_46",2058,868,1595,1263,5854,8775,35.1554492654595,9.89173789173789,27.2463272975743,14.3931623931624
"10","qk423pn9162%2F011_104_V_TC_46",1508,720,968,1020,5748,8804,26.2352122477383,8.17810086324398,16.8406402226862,11.5856428895956
"11","qk423pn9162%2F011_105_R_TC_46",123,658,535,595,5838,8815,2.10688591983556,7.46454906409529,9.1640972935937,6.74985819625638
"12","qk423pn9162%2F011_105_V_TC_46",3803,818,985,1063,5732,8804,66.3468248429867,9.29123125851885,17.1842288904396,12.074057246706
"13","qk423pn9162%2F011_109_R_TC_46",2205,4463,843,1100,5878,8799,37.5127594419871,50.721672917377,14.3416127934672,12.5014206159791
"14","qk423pn9162%2F011_115_V_TC_46",3808,3223,1098,985,5853,8819,65.0606526567572,36.5460936614129,18.7596104561763,11.1690667876176
"15","qk423pn9162%2F011_115_V_TC_46",4908,3153,243,265,5853,8819,83.8544336237827,35.7523528744756,4.15171706817017,3.00487583626261
"16","qk423pn9162%2F011_116_R_TC_46",1925,3388,1153,1610,5814,8815,33.109735122119,38.4344866704481,19.8314413484692,18.2643221781055
"17","qk423pn9162%2F011_118_R_TC_46",2013,980,1145,943,5814,8815,34.6233230134159,11.1174134997164,19.6938424492604,10.6976744186047
"18","qk423pn9162%2F011_118_R_TC_46",3540,833,318,308,5814,8815,60.8875128998968,9.44980147475894,5.46955624355005,3.49404424276801
"19","qk423pn9162%2F011_118_R_TC_46",210,2810,478,380,5814,8815,3.61197110423117,31.8774815655133,8.22153422772618,4.31083380601248
"20","qk423pn9162%2F011_119_V_TC_46",1688,3350,870,953,5845,8780,28.8793840889649,38.1548974943052,14.8845166809239,10.8542141230068
"21","qk423pn9162%2F011_144_V_TC_46",3708,6028,1595,1080,5852,8764,63.362952836637,68.7813783660429,27.2556390977444,12.3231401186673
"22","qk423pn9162%2F011_148_R_TC_46",2138,4035,1283,1568,5894,8815,36.274177129284,45.7742484401588,21.7678995588734,17.7878615995462
"23","qk423pn9162%2F011_148_R_TC_46",2283,1153,945,1010,5894,8815,38.7343060739735,13.079977311401,16.0332541567696,11.4577424844016
"24","qk423pn9162%2F011_154_R_TC_46",2048,2908,1138,2248,5902,8815,34.7001016604541,32.989222915485,19.2815994578109,25.5019852524107
"25","qk423pn9162%2F011_167_V_TC_46",3723,4988,953,1200,5956,8764,62.5083948959033,56.9146508443633,16.0006715916723,13.6923779096303
"26","qk423pn9162%2F011_185_V_TC_46",3558,2405,1155,1265,6004,8804,59.2604930046636,27.3171285779191,19.2371752165223,14.3684688777828
"27","qk423pn9162%2F011_192_V_TC_46",1573,2143,915,913,6069,8804,25.9186027352117,24.341208541572,15.0766188828473,10.3702862335302
"28","qk423pn9162%2F011_193_V_TC_46",3808,2008,908,953,6069,8804,62.7450980392157,22.8078146297138,14.9612786290987,10.8246251703771
"29","qk423pn9162%2F011_196_R_TC_46",75,3953,1048,975,5910,8791,1.26903553299492,44.9664429530201,17.7326565143824,11.0908884085997
"30","qk423pn9162%2F011_203_R_TC_46",2183,2200,555,1243,5974,8815,36.5416806160027,24.9574588769144,9.29025778372949,14.1009642654566
"31","qk423pn9162%2F011_205_V_TC_46",3783,1890,595,910,6117,8804,61.844041196665,21.4675147660154,9.72699035474906,10.3362108132667
"32","qk423pn9162%2F011_209_R_TC_46",168,6368,623,503,6030,8815,2.78606965174129,72.2404991491775,10.3316749585406,5.70618264322178
"33","qk423pn9162%2F011_209_V_TC_46",3833,740,655,925,6084,8788,63.0013149243918,8.42057350933091,10.7659434582512,10.5257168866636
"34","qk423pn9162%2F011_211_V_TC_46",3723,4000,990,1608,6084,8804,61.1932938856016,45.4338936846888,16.2721893491124,18.2644252612449
"35","qk423pn9162%2F011_221_R_TC_46",2410,938,1545,923,6054,8735,39.8083911463495,10.7384087006297,25.5203171456888,10.5666857469948
"36","qk423pn9162%2F011_221_V_TC_46",1513,905,995,1128,6156,8724,24.5776478232619,10.3736817973407,16.1630929174789,12.92984869326
"37","qk423pn9162%2F011_222_R_TC_46",88,703,1585,1448,6038,8735,1.45743623716462,8.04808242701774,26.2504140443856,16.5769891242129
"38","nz663nv2057%2F023_124_V_TC_46",1288,3755,368,533,6322,8443,20.3732995887377,44.4747127798176,5.82094273963935,6.31292194717517
"39","sm247tk3982%2F028_44_V_TC_46",720,3303,980,1320,4917,8469,14.6430750457596,39.0010626992561,19.9308521456172,15.5862557562876
"40","my719tj3506%2F031_170_V_TC_46",5490,5393,483,1143,6020,8960,91.1960132890365,60.1897321428571,8.02325581395349,12.7566964285714
"41","vv058df9042%2F033_120_V_TC_46",3145,4990,470,2345,5840,9206,53.8527397260274,54.2037801433847,8.04794520547945,25.4725179230936
"42","fs743fm9703%2F046_020a_R_TC_46",13,693,805,3760,5890,8658,0.220713073005093,8.004158004158,13.6672325976231,43.4280434280434
"43","fs743fm9703%2F046_035_V_TC_46",3773,5225,390,1250,6106,8694,61.7916803144448,60.098918794571,6.38716017032427,14.3777317690361
"44","fs743fm9703%2F046_056_R_TC_46",280,2543,450,1160,6130,8694,4.56769983686786,29.2500575109271,7.34094616639478,13.3425350816655
"45","fs743fm9703%2F046_079_V_TC_46",3693,3003,460,823,6106,8694,60.4814936128398,34.5410628019324,7.53357353422863,9.46629859673338
"46","fs743fm9703%2F046_086_R_TC_46",335,5183,308,365,5998,8730,5.58519506502167,59.3699885452463,5.135045015005,4.18098510882016
"47","fs743fm9703%2F046_086_V_TC_46",3803,6095,343,560,6058,8718,62.7764938923737,69.9128240422115,5.66193463189171,6.42349162651984
"48","fs743fm9703%2F046_089_V_TC_46",3730,1380,380,1203,6130,8730,60.8482871125612,15.807560137457,6.19902120717781,13.7800687285223
"49","fs743fm9703%2F046_091_R_TC_46",2465,3268,315,615,6070,8706,40.6095551894563,37.5373305766138,5.18945634266886,7.06409372846313
"50","fs743fm9703%2F046_144_R_TC_46",2480,1045,455,1133,6202,8718,39.9871009351822,11.9866941959165,7.33634311512415,12.996100022941
