URL,Label,X,Y,W,H
https://stacks.stanford.edu/image/iiif/wz774ws7198%2F092_167_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1,2348,101,321
https://stacks.stanford.edu/image/iiif/kj101dc0788%2F313_020_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,361,1561,260,266
https://stacks.stanford.edu/image/iiif/sc624xj6187%2F356_095_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,756,715,140,602
https://stacks.stanford.edu/image/iiif/qx685bd1288%2F317_240_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,758,1523,96,74
https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_059_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1187,1262,85,66
https://stacks.stanford.edu/image/iiif/gn055tc5638%2F300_43_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,205,824,45,89
https://stacks.stanford.edu/image/iiif/jy445fd9276%2F277_55_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,247,619,100,146
https://stacks.stanford.edu/image/iiif/qx685bd1288%2F317_120_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1218,111,45,54
https://stacks.stanford.edu/image/iiif/wn160sd8740%2F273_30_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,133,1249,119,320
https://stacks.stanford.edu/image/iiif/tq577rd4321%2F469_112_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,554,214,50,71
https://stacks.stanford.edu/image/iiif/rx716zc6403%2F455_061_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,47,919,92,126
https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_071_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,578,1004,116,53
https://stacks.stanford.edu/image/iiif/jz764vk2561%2F315_44_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,998,448,88,66
https://stacks.stanford.edu/image/iiif/tq577rd4321%2F469_109_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,632,666,51,59
https://stacks.stanford.edu/image/iiif/wx717zj2675%2F048_052_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,305,1547,26,130
https://stacks.stanford.edu/image/iiif/nh464gk4498%2F107_120_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,19,225,140,129
https://stacks.stanford.edu/image/iiif/vv924dt3892%2F405_026_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,849,616,64,69
https://stacks.stanford.edu/image/iiif/qx685bd1288%2F317_238_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,275,1010,120,100
https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_044_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,589,1559,156,64
https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_35_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,256,730,269,452
https://stacks.stanford.edu/image/iiif/rf352tc5448%2F026_112_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,357,372,60,96
https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_187_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1041,1060,87,99
https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_036_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1766,1087,59,74
https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_059_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,937,1934,70,85
https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_178_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1940,429,54,78
https://stacks.stanford.edu/image/iiif/mm597sr5491%2F299_9_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,229,1025,92,319
https://stacks.stanford.edu/image/iiif/qx685bd1288%2F317_231_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,368,758,98,61
https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_145_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,817,2214,84,70
https://stacks.stanford.edu/image/iiif/zh635rv2202%2F402_055_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,34,897,162,304
https://stacks.stanford.edu/image/iiif/pq574zw4714%2F463_259_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,747,1938,91,62
https://stacks.stanford.edu/image/iiif/gm669vs3001%2F058_124_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,2001,2406,37,87
https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_224_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1527,1017,77,57
https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_259_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,670,101,62,80
https://stacks.stanford.edu/image/iiif/tn930ym5616%2F628_053_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,28,199,21,66
https://stacks.stanford.edu/image/iiif/vw680fn2153%2F187_088_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,73,1183,94,85
https://stacks.stanford.edu/image/iiif/nr257ff7994%2F415_102_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,293,684,129,216
https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_647_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,491,1177,62,61
https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_300_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1744,1351,115,89
https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_113_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,791,2349,107,77
https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_030_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1000,1027,154,202
https://stacks.stanford.edu/image/iiif/qq824qn0842%2F318_7_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1363,646,93,145
https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_165_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,958,217,119,51
https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_177_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1012,758,40,62
https://stacks.stanford.edu/image/iiif/kj101dc0788%2F313_065_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1175,522,25,93
https://stacks.stanford.edu/image/iiif/qx685bd1288%2F317_002_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,466,1209,52,56
https://stacks.stanford.edu/image/iiif/mm597sr5491%2F299_78_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,625,359,60,121
https://stacks.stanford.edu/image/iiif/vx000hq8392%2F275_21_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1104,795,75,54
https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_252_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1345,1897,82,332
https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_267_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,648,1195,273,409
https://stacks.stanford.edu/image/iiif/mt087kd8953%2F320_141_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,380,294,115,187
https://stacks.stanford.edu/image/iiif/wn160sd8740%2F273_33_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,590,949,173,140
https://stacks.stanford.edu/image/iiif/wn160sd8740%2F273_72_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,475,1857,87,84
https://stacks.stanford.edu/image/iiif/qj220gv8417%2F139_18_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,512,822,107,130
https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_090_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1262,1575,109,120
https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_650_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1291,703,132,76
https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_013_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1083,546,78,99
https://stacks.stanford.edu/image/iiif/xk876dn8316%2F485_177_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1297,2552,69,65
https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_172_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,450,876,140,156
https://stacks.stanford.edu/image/iiif/wn160sd8740%2F273_126_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1281,2153,110,162
https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_289_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1028,151,86,93
https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_085_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,341,1345,144,139
https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_034_V_FLD_A_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1845,964,68,56
https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_012_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1047,510,84,69
https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_158_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,723,1348,77,78
https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_147_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,482,327,59,69
https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_098_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,294,1850,155,33
https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_243_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,104,1226,159,233
https://stacks.stanford.edu/image/iiif/gc974js8368%2F135_009_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,513,929,237,167
https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_202_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1464,103,61,79
https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_141_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,544,1802,150,53
https://stacks.stanford.edu/image/iiif/tr552jm2166%2F312_285_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,17,415,577,283
https://stacks.stanford.edu/image/iiif/tq577rd4321%2F469_142_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,618,214,38,60
https://stacks.stanford.edu/image/iiif/fs743fm9703%2F046_011a_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1298,333,134,65
https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_211_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,892,665,109,59
https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_132_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1898,701,55,70
https://stacks.stanford.edu/image/iiif/vy908wk5791%2F366_027_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1,1125,137,452
https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_178_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1632,576,65,57
https://stacks.stanford.edu/image/iiif/nh277tk2537%2F265_418_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,97,768,69,69
https://stacks.stanford.edu/image/iiif/vb856kp8798%2F002II_147_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1117,1925,37,107
https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_155_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,374,698,134,61
https://stacks.stanford.edu/image/iiif/tr552jm2166%2F312_5_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,809,1572,92,110
https://stacks.stanford.edu/image/iiif/kb304wh5721%2F327_209_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,799,177,126,251
https://stacks.stanford.edu/image/iiif/vn209hf3082%2F505_038_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,305,1149,104,87
https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_654_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,428,1798,96,52
https://stacks.stanford.edu/image/iiif/wk321dt4676%2F094_35_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,460,1299,178,183
https://stacks.stanford.edu/image/iiif/mq337vq8802%2F397_034_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,34,1364,54,73
https://stacks.stanford.edu/image/iiif/cy895rg0439%2F047_106_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,445,983,106,107
https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_080_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1173,1969,26,39
https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_349_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,618,2396,114,197
https://stacks.stanford.edu/image/iiif/wh417sx8653%2F441_376_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,321,214,72,66
https://stacks.stanford.edu/image/iiif/cy895rg0439%2F047_12_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,329,222,168,209
https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_034_V_FLD_O_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1444,635,65,54
https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_106_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,86,1416,143,127
https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_019_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,759,688,80,78
https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_091_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1472,1870,103,61
https://stacks.stanford.edu/image/iiif/mq337vq8802%2F397_042_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,205,324,50,109
https://stacks.stanford.edu/image/iiif/rk793ps8480%2F276_103_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,163,548,149,129
https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_324_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,861,1274,148,156
https://stacks.stanford.edu/image/iiif/xv032gf3763%2F310_064_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,869,1643,126,92
https://stacks.stanford.edu/image/iiif/qv912yv7154%2F229_54_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,1392,2340,283,239
https://stacks.stanford.edu/image/iiif/sg012cr8689%2F470_015_V_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,233,790,193,136
https://stacks.stanford.edu/image/iiif/zs345bj2650%2F270_169_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,19,1131,177,285
https://stacks.stanford.edu/image/iiif/xk876dn8316%2F485_179_R_TC_46/full/pct:40/0/default.jpg,9-Enlarged_Capitals,848,2562,97,54
