URL,Label,X,Y,W,H
https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_90_V_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,724,2078,155,272
https://stacks.stanford.edu/image/iiif/xv032gf3763%2F310_147_R_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,523,1391,166,507
https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_88_V_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,641,469,289,879
https://stacks.stanford.edu/image/iiif/xp413cf5125%2F319_090_V_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,316,855,77,347
https://stacks.stanford.edu/image/iiif/rf352tc5448%2F026_031_V_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,1241,2202,199,717
https://stacks.stanford.edu/image/iiif/jj576yk1988%2F380_101_R_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,71,1187,196,464
https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_201_V_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,785,2775,105,160
https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_641_R_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,16,191,65,192
https://stacks.stanford.edu/image/iiif/xk876dn8316%2F485_381_R_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,1,870,190,571
https://stacks.stanford.edu/image/iiif/wz774ws7198%2F092_107_R_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,896,1249,223,207
https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_142_V_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,1444,462,107,145
https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_29_V_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,1864,2145,193,127
https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_275_R_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,145,1271,256,377
https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_653_V_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,625,451,74,133
https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_079_V_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,366,907,148,1114
https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_045_V_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,613,1647,442,470
https://stacks.stanford.edu/image/iiif/tn930ym5616%2F628_050_V_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,181,817,131,152
https://stacks.stanford.edu/image/iiif/rf352tc5448%2F026_059_R_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,7,1728,208,1055
https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_119_R_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,93,883,137,392
https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_100_R_TC_46/full/pct:40/0/default.jpg,6-Litterae_Notabiliores,933,218,226,724
