URL,ms_no,page,rv,x,y,w,h,color
"https://stacks.stanford.edu/image/iiif/zv088kx4487%2F003_075_V_TC_46/3273,63,1595,170/pct:40/0/default.jpg",003,075,V,3273,63,1595,170,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_11_R_TC_46/2940,3215,1893,180/pct:40/0/default.jpg",009,11,R,2940,3215,1893,180,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_12_V_TC_46/3900,880,1898,180/pct:40/0/default.jpg",009,12,V,3900,880,1898,180,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_144_R_TC_46/545,8738,1775,250/pct:40/0/default.jpg",009,144,R,545,8738,1775,250,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_144_R_TC_46/2720,8738,2018,250/pct:40/0/default.jpg",009,144,R,2720,8738,2018,250,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_149_V_TC_46/3833,1023,1910,173/pct:40/0/default.jpg",009,149,V,3833,1023,1910,173,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_27_V_TC_46/1393,3,2013,335/pct:40/0/default.jpg",009,27,V,1393,3,2013,335,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_27_V_TC_46/3850,3,2160,335/pct:40/0/default.jpg",009,27,V,3850,3,2160,335,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_30_R_TC_46/190,508,2133,178/pct:40/0/default.jpg",009,30,R,190,508,2133,178,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_013_R_TC_46/290,3,1878,163/pct:40/0/default.jpg",011,013,R,290,3,1878,163,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_013_R_TC_46/2470,3,1983,163/pct:40/0/default.jpg",011,013,R,2470,3,1983,163,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_017_R_TC_46/240,3,1900,305/pct:40/0/default.jpg",011,017,R,240,3,1900,305,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_017_R_TC_46/2415,3,1965,305/pct:40/0/default.jpg",011,017,R,2415,3,1965,305,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_018_R_TC_46/245,8593,1840,193/pct:40/0/default.jpg",011,018,R,245,8593,1840,193,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_021_R_TC_46/178,3,1830,108/pct:40/0/default.jpg",011,021,R,178,3,1830,108,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_021_R_TC_46/2305,3,1980,108/pct:40/0/default.jpg",011,021,R,2305,3,1980,108,
