URL,ms_no,page,rv,x,y,w,h,color
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_266_R_TC_46/2435,5075,318,928/pct:40/0/default.jpg",002III,266,R,2435,5075,318,928,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_269_R_TC_46/2583,1830,240,380/pct:40/0/default.jpg",002III,269,R,2583,1830,240,380,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_273_V_TC_46/3678,1480,808,395/pct:40/0/default.jpg",002III,273,V,3678,1480,808,395,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_274_R_TC_46/343,4048,115,390/pct:40/0/default.jpg",002III,274,R,343,4048,115,390,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_274_R_TC_46/2390,6110,145,1223/pct:40/0/default.jpg",002III,274,R,2390,6110,145,1223,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_282_R_TC_46/2423,5875,458,423/pct:40/0/default.jpg",002III,282,R,2423,5875,458,423,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_286_R_TC_46/173,2250,363,398/pct:40/0/default.jpg",002III,286,R,173,2250,363,398,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_286_R_TC_46/2478,6823,370,400/pct:40/0/default.jpg",002III,286,R,2478,6823,370,400,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_286_R_TC_46/2488,4790,393,385/pct:40/0/default.jpg",002III,286,R,2488,4790,393,385,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_289_R_TC_46/2365,2440,398,883/pct:40/0/default.jpg",002III,289,R,2365,2440,398,883,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_289_R_TC_46/2380,5288,393,380/pct:40/0/default.jpg",002III,289,R,2380,5288,393,380,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_290_R_TC_46/2323,1155,400,373/pct:40/0/default.jpg",002III,290,R,2323,1155,400,373,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_296_V_TC_46/1513,1598,440,428/pct:40/0/default.jpg",002III,296,V,1513,1598,440,428,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_296_V_TC_46/1525,5675,458,398/pct:40/0/default.jpg",002III,296,V,1525,5675,458,398,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_296_V_TC_46/3998,4010,133,870/pct:40/0/default.jpg",002III,296,V,3998,4010,133,870,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_300_R_TC_46/2358,6233,418,423/pct:40/0/default.jpg",002III,300,R,2358,6233,418,423,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_304_V_TC_46/3925,6088,443,450/pct:40/0/default.jpg",002III,304,V,3925,6088,443,450,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_312_R_TC_46/3340,4195,213,213/pct:40/0/default.jpg",002III,312,R,3340,4195,213,213,
