URL,Label,X,Y,W,H
https://stacks.stanford.edu/image/iiif/gf842rx6366%2F459_088_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1251,985,237,57
https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_075_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,827,2175,215,21
https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_072_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1604,1033,87,39
https://stacks.stanford.edu/image/iiif/kj101dc0788%2F313_057_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,512,2039,504,75
https://stacks.stanford.edu/image/iiif/hg583np7605%2F186_63_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,604,983,187,32
https://stacks.stanford.edu/image/iiif/fn354xs7634%2F004_140_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,764,1096,168,53
https://stacks.stanford.edu/image/iiif/vv058df9042%2F033_58_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1675,2626,359,46
https://stacks.stanford.edu/image/iiif/mq337vq8802%2F397_132_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1836,594,150,43
https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_208_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1194,2532,177,37
https://stacks.stanford.edu/image/iiif/qj220gv8417%2F139_123_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,577,3126,808,43
https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_68_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1871,793,149,60
https://stacks.stanford.edu/image/iiif/ws512bd6784%2F425_024a_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,241,1881,632,72
https://stacks.stanford.edu/image/iiif/sc624xj6187%2F356_129_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,540,461,109,54
https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_213_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,2048,2427,281,113
https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_346_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1440,1009,599,73
https://stacks.stanford.edu/image/iiif/vb856kp8798%2F002II_154_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1227,904,164,60
https://stacks.stanford.edu/image/iiif/xr745mn3815%2F480_186_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,835,899,144,48
https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_171_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1611,2803,184,79
https://stacks.stanford.edu/image/iiif/qd947xd9843%2F483_106_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1079,1539,118,40
https://stacks.stanford.edu/image/iiif/hb336yt8349%2F375_118_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1245,343,164,48
https://stacks.stanford.edu/image/iiif/xr745mn3815%2F480_069_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,742,714,241,37
https://stacks.stanford.edu/image/iiif/rb296hb9129%2F214_022_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1033,1469,87,39
https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_246_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,60,1786,304,39
https://stacks.stanford.edu/image/iiif/fn354xs7634%2F004_041_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1497,835,166,56
https://stacks.stanford.edu/image/iiif/cg362wn0438%2F150_119_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1941,2652,195,55
https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_022_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,470,1407,222,52
https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_vii_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1151,1494,65,30
https://stacks.stanford.edu/image/iiif/vx000hq8392%2F275_239_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,560,578,457,33
https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_281_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1269,1107,107,33
https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_132_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,689,682,139,47
https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_144_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,2040,2838,195,24
https://stacks.stanford.edu/image/iiif/kh542wm7507%2F337_94_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,926,847,251,56
https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_115_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1242,2635,90,37
https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_171_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,816,2443,141,38
https://stacks.stanford.edu/image/iiif/hp566jq8781%2F367_079_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,440,971,206,69
https://stacks.stanford.edu/image/iiif/jy445fd9276%2F277_37_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,708,1635,311,38
https://stacks.stanford.edu/image/iiif/bj009wm8755%2F111_320_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,578,1245,258,78
https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_041_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1990,2308,224,48
https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_120_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1617,2010,226,62
https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_011_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,330,2390,616,39
https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_054_V_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1295,1936,177,45
https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_203_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1457,421,95,30
https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_057_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1485,779,420,46
https://stacks.stanford.edu/image/iiif/zv088kx4487%2F003_126_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1099,493,620,55
https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_44_R_TC_46/full/pct:40/0/default.jpg,8-Intertextual_Space,1103,1562,248,59
