URL,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_xvi_V_TC_46/3350,5010,854,78/pct:40/0/default.jpg",,22,xvi V,3350,5010,854,78,
"https://stacks.stanford.edu/image/iiif/sx200wv7668%2F044_404_TC_46/1044,612,2824,106/pct:40/0/default.jpg",,44,404,1044,612,2824,106,
"https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_027_V_TC_46/820,5908,1476,96/pct:40/0/default.jpg",,45,27 V,820,5908,1476,96,
"https://stacks.stanford.edu/image/iiif/xp413cf5125%2F319_100_V_TC_46/1910,1418,976,102/pct:40/0/default.jpg",,319,100 V,1910,1418,976,102,
"https://stacks.stanford.edu/image/iiif/qx685bd1288%2F317_279_R_TC_46/1766,1024,254,90/pct:40/0/default.jpg",,317,279 R,1766,1024,254,90,
"https://stacks.stanford.edu/image/iiif/vx000hq8392%2F275_117_V_TC_46/1930,1634,236,68/pct:40/0/default.jpg",,275,117 V,1930,1634,236,68,
"https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_115_R_TC_46/1672,1596,732,94/pct:40/0/default.jpg",,468,115 R,1672,1596,732,94,
"https://stacks.stanford.edu/image/iiif/gc974js8368%2F135_111_R_TC_46/1116,5052,588,138/pct:40/0/default.jpg",,135,111 R,1116,5052,588,138,
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_239_V_TC_46/944,716,2870,182/pct:40/0/default.jpg",,269,239 V,944,716,2870,182,
"https://stacks.stanford.edu/image/iiif/rg420yp8320%2F373_9_V_TC_46/3416,4860,762,204/pct:40/0/default.jpg",,373,9 V,3416,4860,762,204,
"https://stacks.stanford.edu/image/iiif/sc624xj6187%2F356_092_V_TC_46/2044,598,440,76/pct:40/0/default.jpg",,356,92 V,2044,598,440,76,
"https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_114_R_TC_46/2012,3022,264,74/pct:40/0/default.jpg",,130,114 R,2012,3022,264,74,
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_11_R_TC_46/454,2884,1632,138/pct:40/0/default.jpg",,269,11 R,454,2884,1632,138,
"https://stacks.stanford.edu/image/iiif/vp970qy1037%2F027_191_R_TC_46/2444,2096,508,92/pct:40/0/default.jpg",,27,191 R,2444,2096,508,92,
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_217_V_TC_46/1164,5274,2556,144/pct:40/0/default.jpg",,269,217 V,1164,5274,2556,144,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_326_R_TC_46/1994,4212,270,82/pct:40/0/default.jpg",,49,326 R,1994,4212,270,82,
"https://stacks.stanford.edu/image/iiif/sc624xj6187%2F356_008_R_TC_46/1568,3232,1052,122/pct:40/0/default.jpg",,356,8 R,1568,3232,1052,122,
"https://stacks.stanford.edu/image/iiif/pq756vs0720%2F292_119_R_TC_46/274,4578,1800,152/pct:40/0/default.jpg",,292,119 R,274,4578,1800,152,
"https://stacks.stanford.edu/image/iiif/xq050qp5257%2F267_83_V_TC_46/2276,860,250,64/pct:40/0/default.jpg",,267,83 V,2276,860,250,64,
"https://stacks.stanford.edu/image/iiif/wx717zj2675%2F048_245_R_TC_46/998,3860,442,52/pct:40/0/default.jpg",,48,245 R,998,3860,442,52,
"https://stacks.stanford.edu/image/iiif/zh479gp8621%2F316_56_R_TC_46/1678,4014,440,132/pct:40/0/default.jpg",,316,56 R,1678,4014,440,132,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_88_V_TC_46/3260,4772,730,134/pct:40/0/default.jpg",,50,88 V,3260,4772,730,134,
"https://stacks.stanford.edu/image/iiif/vp970qy1037%2F027_83_R_TC_46/674,2330,994,94/pct:40/0/default.jpg",,27,83 R,674,2330,994,94,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_280_V_TC_46/1216,5070,1512,130/pct:40/0/default.jpg",,2III,280 V,1216,5070,1512,130,
"https://stacks.stanford.edu/image/iiif/sb541hg4710%2F419_ii_R_TC_46/42,290,936,310/pct:40/0/default.jpg",,419,ii R,42,290,936,310,
"https://stacks.stanford.edu/image/iiif/vp970qy1037%2F027_131_R_TC_46/2026,3078,828,88/pct:40/0/default.jpg",,27,131 R,2026,3078,828,88,
"https://stacks.stanford.edu/image/iiif/wk321dt4676%2F094_147_R_TC_46/3548,3368,538,130/pct:40/0/default.jpg",,94,147 R,3548,3368,538,130,
"https://stacks.stanford.edu/image/iiif/vd280pd3953%2F052_180_V_TC_46/2860,2256,1096,98/pct:40/0/default.jpg",,52,180 V,2860,2256,1096,98,
"https://stacks.stanford.edu/image/iiif/vd280pd3953%2F052_166_R_TC_46/266,1292,1164,98/pct:40/0/default.jpg",,52,166 R,266,1292,1164,98,
"https://stacks.stanford.edu/image/iiif/bg021sq9590%2F200_201_TC_46/634,1350,1402,164/pct:40/0/default.jpg",,200,201,634,1350,1402,164,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_64_V_TC_46/2884,5630,832,128/pct:40/0/default.jpg",,50,64 V,2884,5630,832,128,
"https://stacks.stanford.edu/image/iiif/pq574zw4714%2F463_588_V_TC_46/682,1196,286,80/pct:40/0/default.jpg",,463,588 V,682,1196,286,80,
"https://stacks.stanford.edu/image/iiif/xv032gf3763%2F310_011_R_TC_46/1708,436,442,104/pct:40/0/default.jpg",,310,11 R,1708,436,442,104,
"https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_088_R_TC_46/2222,2704,262,86/pct:40/0/default.jpg",,468,88 R,2222,2704,262,86,
"https://stacks.stanford.edu/image/iiif/tq577rd4321%2F469_010_R_TC_46/664,2392,284,84/pct:40/0/default.jpg",,469,10 R,664,2392,284,84,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_235_R_TC_46/2966,3400,220,78/pct:40/0/default.jpg",,75,235 R,2966,3400,220,78,
"https://stacks.stanford.edu/image/iiif/gs070yh9296%2F339_036_V_TC_46/1920,2298,1040,102/pct:40/0/default.jpg",,339,36 V,1920,2298,1040,102,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_022_R_TC_46/1460,1958,504,90/pct:40/0/default.jpg",,16II,22 R,1460,1958,504,90,
"https://stacks.stanford.edu/image/iiif/xk876dn8316%2F485_221_V_TC_46/1620,3000,440,76/pct:40/0/default.jpg",,485,221 V,1620,3000,440,76,
"https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_121_R_TC_46/3056,3132,464,84/pct:40/0/default.jpg",,29,121 R,3056,3132,464,84,
"https://stacks.stanford.edu/image/iiif/sg012cr8689%2F470_013_R_TC_46/1454,376,704,80/pct:40/0/default.jpg",,470,13 R,1454,376,704,80,
"https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_095_R_TC_46/942,1032,202,82/pct:40/0/default.jpg",,321,95 R,942,1032,202,82,
"https://stacks.stanford.edu/image/iiif/vp970qy1037%2F027_15_R_TC_46/816,1934,408,94/pct:40/0/default.jpg",,27,15 R,816,1934,408,94,
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_xiii_R_TC_46/2518,4870,576,70/pct:40/0/default.jpg",,22,xiii R,2518,4870,576,70,
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_50_V_TC_46/1276,5482,2558,122/pct:40/0/default.jpg",,269,50 V,1276,5482,2558,122,
"https://stacks.stanford.edu/image/iiif/sb986nn5729%2F136_31_V_TC_46/676,986,436,56/pct:40/0/default.jpg",,136,31 V,676,986,436,56,
"https://stacks.stanford.edu/image/iiif/sx200wv7668%2F044_079_TC_46/1230,1724,2206,224/pct:40/0/default.jpg",,44,79,1230,1724,2206,224,
"https://stacks.stanford.edu/image/iiif/rf352tc5448%2F026_056_R_TC_46/1170,3280,624,86/pct:40/0/default.jpg",,26,56 R,1170,3280,624,86,
"https://stacks.stanford.edu/image/iiif/wz774ws7198%2F092_082_R_TC_46/2592,1838,384,114/pct:40/0/default.jpg",,92,82 R,2592,1838,384,114,
"https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_046_V_TC_46/876,3012,1230,100/pct:40/0/default.jpg",,45,46 V,876,3012,1230,100,
"https://stacks.stanford.edu/image/iiif/qt747ct6627%2F161_44_R_TC_46/1468,2860,920,90/pct:40/0/default.jpg",,161,44 R,1468,2860,920,90,
"https://stacks.stanford.edu/image/iiif/rg420yp8320%2F373_63_V_TC_46/2184,5238,474,172/pct:40/0/default.jpg",,373,63 V,2184,5238,474,172,
"https://stacks.stanford.edu/image/iiif/nd020zt5485%2F131_35_R_TC_46/812,4676,768,130/pct:40/0/default.jpg",,131,35 R,812,4676,768,130,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_102_V_TC_46/1986,514,250,60/pct:40/0/default.jpg",,55,102 V,1986,514,250,60,
"https://stacks.stanford.edu/image/iiif/pq574zw4714%2F463_343_R_TC_46/422,2554,170,82/pct:40/0/default.jpg",,463,343 R,422,2554,170,82,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_364_V_TC_46/3318,3188,672,120/pct:40/0/default.jpg",,271,364 V,3318,3188,672,120,
"https://stacks.stanford.edu/image/iiif/rg420yp8320%2F373_10_R_TC_46/216,3540,806,200/pct:40/0/default.jpg",,373,10 R,216,3540,806,200,
"https://stacks.stanford.edu/image/iiif/kc116ss6676%2F442_152_TC_46/1488,3988,1192,138/pct:40/0/default.jpg",,442,152,1488,3988,1192,138,
"https://stacks.stanford.edu/image/iiif/nd020zt5485%2F131_65_V_TC_46/2928,4662,1362,124/pct:40/0/default.jpg",,131,65 V,2928,4662,1362,124,
"https://stacks.stanford.edu/image/iiif/wx717zj2675%2F048_011_R_TC_46/1214,226,504,56/pct:40/0/default.jpg",,48,11 R,1214,226,504,56,
"https://stacks.stanford.edu/image/iiif/nd020zt5485%2F131_152_R_TC_46/216,4654,1164,124/pct:40/0/default.jpg",,131,152 R,216,4654,1164,124,
"https://stacks.stanford.edu/image/iiif/qt651bq6363%2F466_043_TC_46/1400,2326,650,114/pct:40/0/default.jpg",,466,43,1400,2326,650,114,
"https://stacks.stanford.edu/image/iiif/xv032gf3763%2F310_147_R_TC_46/1256,3160,890,70/pct:40/0/default.jpg",,310,147 R,1256,3160,890,70,
"https://stacks.stanford.edu/image/iiif/sk095st1718%2F199_021_V_TC_46/758,664,1732,94/pct:40/0/default.jpg",,199,21 V,758,664,1732,94,
