URL,Letter,"primary 
color","secondary 
colors",is Error,Error Description,ms_no,page,rv,x,y,w,h,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_065_R_TC_46/2288,4275,1958,1198/pct:40/0/default.jpg",Q,red,blue,,,11,65,R,2288,4275,1958,1198,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_066_V_TC_46/3615,5710,1285,1163/pct:40/0/default.jpg",U,red,blue,,,11,66,V,3615,5710,1285,1163,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_070_R_TC_46/168,763,1105,1085/pct:40/0/default.jpg",O,red,blue,,,11,70,R,168,763,1105,1085,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_083_V_TC_46/1515,5328,1795,1220/pct:40/0/default.jpg",U,blue,red,,,11,83,V,1515,5328,1795,1220,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_085_V_TC_46/3703,813,1758,1333/pct:40/0/default.jpg",U,red,blue,,,11,85,V,3703,813,1758,1333,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_099_V_TC_46/3488,793,1245,1603/pct:40/0/default.jpg",P,red,blue,,,11,99,V,3488,793,1245,1603,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_099_V_TC_46/3668,3203,1103,1100/pct:40/0/default.jpg",C,blue,red,,,11,99,V,3668,3203,1103,1100,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_100_R_TC_46/168,2895,860,995/pct:40/0/default.jpg",C,red,blue,T,,11,100,R,168,2895,860,995,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_100_R_TC_46/2058,868,1595,1263/pct:40/0/default.jpg",V,blue,red,,,11,100,R,2058,868,1595,1263,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_104_V_TC_46/1508,720,968,1020/pct:40/0/default.jpg",N,red,blue,,,11,104,V,1508,720,968,1020,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_105_R_TC_46/123,658,535,595/pct:40/0/default.jpg",T,red,blue,,,11,105,R,123,658,535,595,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_105_V_TC_46/3803,818,985,1063/pct:40/0/default.jpg",E,blue,red,,,11,105,V,3803,818,985,1063,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_109_R_TC_46/2205,4463,843,1100/pct:40/0/default.jpg",S,blue,red,,,11,109,R,2205,4463,843,1100,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_115_V_TC_46/3808,3223,1098,985/pct:40/0/default.jpg",T,blue,red,,,11,115,V,3808,3223,1098,985,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_115_V_TC_46/4908,3153,243,265/pct:40/0/default.jpg",,,,T,,11,115,V,4908,3153,243,265,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_116_R_TC_46/1925,3388,1153,1610/pct:40/0/default.jpg",P,red,blue,,,11,116,R,1925,3388,1153,1610,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_118_R_TC_46/2013,980,1145,943/pct:40/0/default.jpg",N,red,blue,,,11,118,R,2013,980,1145,943,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_118_R_TC_46/3540,833,318,308/pct:40/0/default.jpg",,,,T,,11,118,R,3540,833,318,308,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_118_R_TC_46/210,2810,478,380/pct:40/0/default.jpg",,,,T,,11,118,R,210,2810,478,380,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_119_V_TC_46/1688,3350,870,953/pct:40/0/default.jpg",O,red,blue,,,11,119,V,1688,3350,870,953,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_144_V_TC_46/3708,6028,1595,1080/pct:40/0/default.jpg",F,red,blue,T,,11,144,V,3708,6028,1595,1080,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_148_R_TC_46/2138,4035,1283,1568/pct:40/0/default.jpg",A,red,blue,,,11,148,R,2138,4035,1283,1568,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_148_R_TC_46/2283,1153,945,1010/pct:40/0/default.jpg",C,blue,red,,,11,148,R,2283,1153,945,1010,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_154_R_TC_46/2048,2908,1138,2248/pct:40/0/default.jpg",P,red,blue,,,11,154,R,2048,2908,1138,2248,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_167_V_TC_46/3723,4988,953,1200/pct:40/0/default.jpg",B,blue,red,,,11,167,V,3723,4988,953,1200,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_185_V_TC_46/3558,2405,1155,1265/pct:40/0/default.jpg",A,blue,red,,,11,185,V,3558,2405,1155,1265,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_192_V_TC_46/1573,2143,915,913/pct:40/0/default.jpg",E,red,blue,,,11,192,V,1573,2143,915,913,,,,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_193_V_TC_46/3808,2008,908,953/pct:40/0/default.jpg",O,red,blue,,,11,193,V,3808,2008,908,953,,,,
