URL,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/rz376mp0778%2F475_016_R_TC_46/1715,2070,635,135/pct:40/0/default.jpg",,475,16 R,1715,2070,635,135,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_412_V_TC_46/3760,4477,927,92/pct:40/0/default.jpg",,49,412 V,3760,4477,927,92,
"https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_024_V_TC_46/610,2770,847,125/pct:40/0/default.jpg",,511,24 V,610,2770,847,125,
"https://stacks.stanford.edu/image/iiif/qj220gv8417%2F139_35_V_TC_46/4552,4337,582,162/pct:40/0/default.jpg",,139,35 V,4552,4337,582,162,
"https://stacks.stanford.edu/image/iiif/zp389vb9685%2F228_042_R_TC_46/1825,6612,425,200/pct:40/0/default.jpg",,228,42 R,1825,6612,425,200,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_133_V_TC_46/4595,3512,530,160/pct:40/0/default.jpg",,50,133 V,4595,3512,530,160,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_155_V_TC_46/3775,415,2335,185/pct:40/0/default.jpg",,9,155 V,3775,415,2335,185,
"https://stacks.stanford.edu/image/iiif/hv214nw9015%2F295_vii_R_TC_46/2395,3252,447,120/pct:40/0/default.jpg",,295,vii R,2395,3252,447,120,
"https://stacks.stanford.edu/image/iiif/fh878gz0315%2F198_247_V_TC_46/812,5572,1777,202/pct:40/0/default.jpg",,198,247 V,812,5572,1777,202,
"https://stacks.stanford.edu/image/iiif/jy445fd9276%2F277_8_V_TC_46/1872,2105,682,85/pct:40/0/default.jpg",,277,8 V,1872,2105,682,85,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_082_V_TC_46/5247,1077,190,95/pct:40/0/default.jpg",,75,82 V,5247,1077,190,95,
"https://stacks.stanford.edu/image/iiif/sg012cr8689%2F470_048_R_TC_46/2022,3647,487,167/pct:40/0/default.jpg",,470,48 R,2022,3647,487,167,
"https://stacks.stanford.edu/image/iiif/xr745mn3815%2F480_159_R_TC_46/1255,2375,617,127/pct:40/0/default.jpg",,480,159 R,1255,2375,617,127,
"https://stacks.stanford.edu/image/iiif/xq358rn9921%2F202_77_R_TC_46/342,1725,922,110/pct:40/0/default.jpg",,202,77 R,342,1725,922,110,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_300_V_TC_46/3277,7425,425,167/pct:40/0/default.jpg",,2III,300 V,3277,7425,425,167,
"https://stacks.stanford.edu/image/iiif/qd947xd9843%2F483_056_R_TC_46/122,2037,327,107/pct:40/0/default.jpg",,483,56 R,122,2037,327,107,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_139_R_TC_46/2862,967,500,75/pct:40/0/default.jpg",,271,139 R,2862,967,500,75,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_128_R_TC_46/1822,2147,382,115/pct:40/0/default.jpg",,10,128 R,1822,2147,382,115,
"https://stacks.stanford.edu/image/iiif/sg012cr8689%2F470_057_R_TC_46/1520,3207,530,127/pct:40/0/default.jpg",,470,57 R,1520,3207,530,127,
"https://stacks.stanford.edu/image/iiif/nh671tc2872%2F066A_119_TC_46/1160,2010,512,107/pct:40/0/default.jpg",,66A,119,1160,2010,512,107,
"https://stacks.stanford.edu/image/iiif/yp140pk0305%2F416_153_R_TC_46/812,1392,260,117/pct:40/0/default.jpg",,416,153 R,812,1392,260,117,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_117_R_TC_46/4185,5022,1435,112/pct:40/0/default.jpg",,271,117 R,4185,5022,1435,112,
"https://stacks.stanford.edu/image/iiif/fc862jh5847%2F309_77_R_TC_46/1797,7435,450,170/pct:40/0/default.jpg",,309,77 R,1797,7435,450,170,
