URL,letter,primary color,secondary colors,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/qm817bv7839%2F400_088_R_TC_46/955,412,602,977/pct:40/0/default.jpg",,,,,400,88 R,955,412,602,977,
"https://stacks.stanford.edu/image/iiif/wz774ws7198%2F092_028_V_TC_46/1317,380,455,672/pct:40/0/default.jpg",,,,,92,28 V,1317,380,455,672,
"https://stacks.stanford.edu/image/iiif/jv228wq5037%2F385_124_TC_46/667,3222,435,562/pct:40/0/default.jpg",,,,,385,124,667,3222,435,562,
"https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_258_V_TC_46/3072,362,265,280/pct:40/0/default.jpg",,,,,437,258 V,3072,362,265,280,
"https://stacks.stanford.edu/image/iiif/jc891dg8213%2F252_116_V_TC_46/852,5482,830,957/pct:40/0/default.jpg",,,,,252,116 V,852,5482,830,957,
"https://stacks.stanford.edu/image/iiif/xk876dn8316%2F485_376_R_TC_46/7,350,555,957/pct:40/0/default.jpg",,,,,485,376 R,7,350,555,957,
"https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_059_R_TC_46/3955,1152,607,1535/pct:40/0/default.jpg",,,,,437,59 R,3955,1152,607,1535,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_145_R_TC_46/22,440,495,1327/pct:40/0/default.jpg",,,,,16II,145 R,22,440,495,1327,
"https://stacks.stanford.edu/image/iiif/xk876dn8316%2F485_020_V_TC_46/3057,902,557,3507/pct:40/0/default.jpg",,,,,485,20 V,3057,902,557,3507,
"https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_039_V_TC_46/5035,1132,467,622/pct:40/0/default.jpg",,,,,45,39 V,5035,1132,467,622,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_119_R_TC_46/350,5097,307,995/pct:40/0/default.jpg",,,,,16II,119 R,350,5097,307,995,
"https://stacks.stanford.edu/image/iiif/xv032gf3763%2F310_065_R_TC_46/227,3995,370,277/pct:40/0/default.jpg",,,,,310,65 R,227,3995,370,277,
"https://stacks.stanford.edu/image/iiif/jz764vk2561%2F315_62_V_TC_46/3190,2600,367,592/pct:40/0/default.jpg",,,,,315,62 V,3190,2600,367,592,
"https://stacks.stanford.edu/image/iiif/bh709gt4292%2F274_001_R_TC_46/107,2145,637,972/pct:40/0/default.jpg",,,,,274,1 R,107,2145,637,972,
"https://stacks.stanford.edu/image/iiif/gf842rx6366%2F459_051_V_TC_46/1162,950,330,817/pct:40/0/default.jpg",,,,,459,51 V,1162,950,330,817,
"https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_147_R_TC_46/2572,2400,265,350/pct:40/0/default.jpg",,,,,29,147 R,2572,2400,265,350,
"https://stacks.stanford.edu/image/iiif/xp413cf5125%2F319_006_R_TC_46/7,2852,277,577/pct:40/0/default.jpg",,,,,319,6 R,7,2852,277,577,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_106_R_TC_46/847,1082,730,1070/pct:40/0/default.jpg",,,,,49,106 R,847,1082,730,1070,
"https://stacks.stanford.edu/image/iiif/xk876dn8316%2F485_187_V_TC_46/882,2062,782,1775/pct:40/0/default.jpg",,,,,485,187 V,882,2062,782,1775,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_191_V_TC_46/3335,942,217,555/pct:40/0/default.jpg",,,,,271,191 V,3335,942,217,555,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_272_V_TC_46/3242,6872,800,960/pct:40/0/default.jpg",,,,,10,272 V,3242,6872,800,960,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_390_R_TC_46/560,930,360,1562/pct:40/0/default.jpg",,,,,49,390 R,560,930,360,1562,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_433_V_TC_46/3135,6080,942,1265/pct:40/0/default.jpg",,,,,49,433 V,3135,6080,942,1265,
"https://stacks.stanford.edu/image/iiif/tq577rd4321%2F469_076_R_TC_46/832,1762,237,355/pct:40/0/default.jpg",,,,,469,76 R,832,1762,237,355,
