URL,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_182_R_TC_46/1745,5582,325,95/pct:40/0/default.jpg",,75,182 R,1745,5582,325,95,
"https://stacks.stanford.edu/image/iiif/xp413cf5125%2F319_142_R_TC_46/327,4020,1140,110/pct:40/0/default.jpg",,319,142 R,327,4020,1140,110,
"https://stacks.stanford.edu/image/iiif/ws512bd6784%2F425_015_V_TC_46/3160,4092,1440,230/pct:40/0/default.jpg",,425,15 V,3160,4092,1440,230,
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_xiv_R_TC_46/3160,4472,627,102/pct:40/0/default.jpg",,22,xiv R,3160,4472,627,102,
"https://stacks.stanford.edu/image/iiif/vd280pd3953%2F052_043_R_TC_46/472,5645,842,125/pct:40/0/default.jpg",,52,43 R,472,5645,842,125,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_042_R_TC_46/2922,4377,237,95/pct:40/0/default.jpg",,75,42 R,2922,4377,237,95,
"https://stacks.stanford.edu/image/iiif/gc974js8368%2F135_057_R_TC_46/927,5730,1105,172/pct:40/0/default.jpg",,135,57 R,927,5730,1105,172,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_097_V_TC_46/1607,3337,297,70/pct:40/0/default.jpg",,55,97 V,1607,3337,297,70,
"https://stacks.stanford.edu/image/iiif/wz774ws7198%2F092_181_V_TC_46/2545,2852,430,135/pct:40/0/default.jpg",,92,181 V,2545,2852,430,135,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_215_V_TC_46/2652,3170,837,97/pct:40/0/default.jpg",,75,215 V,2652,3170,837,97,
"https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_572_V_TC_46/2712,5672,402,97/pct:40/0/default.jpg",,484,572 V,2712,5672,402,97,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_252_R_TC_46/2722,4222,395,67/pct:40/0/default.jpg",,55,252 R,2722,4222,395,67,
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_102_R_TC_46/387,2822,1932,145/pct:40/0/default.jpg",,22,102 R,387,2822,1932,145,
"https://stacks.stanford.edu/image/iiif/nd020zt5485%2F131_76_R_TC_46/1300,4472,772,162/pct:40/0/default.jpg",,131,76 R,1300,4472,772,162,
"https://stacks.stanford.edu/image/iiif/qd947xd9843%2F483_129_R_TC_46/167,1810,875,102/pct:40/0/default.jpg",,483,129 R,167,1810,875,102,
