URL,letter,primary color,secondary colors,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/wz774ws7198%2F092_167_R_TC_46/2,5870,252,802/pct:40/0/default.jpg",,,,,92,167 R,2,5870,252,802,
"https://stacks.stanford.edu/image/iiif/kj101dc0788%2F313_020_V_TC_46/902,3902,650,665/pct:40/0/default.jpg",,,,,313,20 V,902,3902,650,665,
"https://stacks.stanford.edu/image/iiif/sc624xj6187%2F356_095_V_TC_46/1890,1787,350,1505/pct:40/0/default.jpg",,,,,356,95 V,1890,1787,350,1505,
"https://stacks.stanford.edu/image/iiif/qx685bd1288%2F317_240_R_TC_46/1895,3807,240,185/pct:40/0/default.jpg",,,,,317,240 R,1895,3807,240,185,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_059_V_TC_46/2967,3155,212,165/pct:40/0/default.jpg",,,,,75,59 V,2967,3155,212,165,
"https://stacks.stanford.edu/image/iiif/gn055tc5638%2F300_43_R_TC_46/512,2060,112,222/pct:40/0/default.jpg",,,,,300,43 R,512,2060,112,222,
"https://stacks.stanford.edu/image/iiif/jy445fd9276%2F277_55_V_TC_46/617,1547,250,365/pct:40/0/default.jpg",,,,,277,55 V,617,1547,250,365,
"https://stacks.stanford.edu/image/iiif/qx685bd1288%2F317_120_R_TC_46/3045,277,112,135/pct:40/0/default.jpg",,,,,317,120 R,3045,277,112,135,
"https://stacks.stanford.edu/image/iiif/wn160sd8740%2F273_30_R_TC_46/332,3122,297,800/pct:40/0/default.jpg",,,,,273,30 R,332,3122,297,800,
"https://stacks.stanford.edu/image/iiif/tq577rd4321%2F469_112_R_TC_46/1385,535,125,177/pct:40/0/default.jpg",,,,,469,112 R,1385,535,125,177,
"https://stacks.stanford.edu/image/iiif/rx716zc6403%2F455_061_R_TC_46/117,2297,230,315/pct:40/0/default.jpg",,,,,455,61 R,117,2297,230,315,
"https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_071_V_TC_46/1445,2510,290,132/pct:40/0/default.jpg",,,,,321,71 V,1445,2510,290,132,
"https://stacks.stanford.edu/image/iiif/jz764vk2561%2F315_44_R_TC_46/2495,1120,220,165/pct:40/0/default.jpg",,,,,315,44 R,2495,1120,220,165,
"https://stacks.stanford.edu/image/iiif/tq577rd4321%2F469_109_R_TC_46/1580,1665,127,147/pct:40/0/default.jpg",,,,,469,109 R,1580,1665,127,147,
"https://stacks.stanford.edu/image/iiif/wx717zj2675%2F048_052_V_TC_46/762,3867,65,325/pct:40/0/default.jpg",,,,,48,52 V,762,3867,65,325,
"https://stacks.stanford.edu/image/iiif/nh464gk4498%2F107_120_R_TC_46/47,562,350,322/pct:40/0/default.jpg",,,,,107,120 R,47,562,350,322,
"https://stacks.stanford.edu/image/iiif/vv924dt3892%2F405_026_R_TC_46/2122,1540,160,172/pct:40/0/default.jpg",,,,,405,26 R,2122,1540,160,172,
"https://stacks.stanford.edu/image/iiif/qx685bd1288%2F317_238_R_TC_46/687,2525,300,250/pct:40/0/default.jpg",,,,,317,238 R,687,2525,300,250,
"https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_044_V_TC_46/1472,3897,390,160/pct:40/0/default.jpg",,,,,321,44 V,1472,3897,390,160,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_35_V_TC_46/640,1825,672,1130/pct:40/0/default.jpg",,,,,30,35 V,640,1825,672,1130,
"https://stacks.stanford.edu/image/iiif/rf352tc5448%2F026_112_R_TC_46/892,930,150,240/pct:40/0/default.jpg",,,,,26,112 R,892,930,150,240,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_187_TC_46/2602,2650,217,247/pct:40/0/default.jpg",,,,,51,187,2602,2650,217,247,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_036_V_TC_46/4415,2717,147,185/pct:40/0/default.jpg",,,,,75,36 V,4415,2717,147,185,
